ID_x,OrderID,Client_ID,Product_ID,QTY,DataStamp,Day,Month,Year,First,Last,District,ID_y,Name,Price,Unit(g)
1,1,10,1,9,2014-01-01 13:55:48,1,1,2014,Kamil,Kaczor,Ursynów,1,Product 1,7.99,374
2,1,10,3,3,2014-01-01 13:55:48,1,1,2014,Kamil,Kaczor,Ursynów,3,Product 3,13.99,341
3,1,10,5,4,2014-01-01 13:55:48,1,1,2014,Kamil,Kaczor,Ursynów,5,Product 5,23.99,750
4,2,75,4,9,2014-01-01 16:16:10,1,1,2014,Grzegorz,Brzoza,Bemowo,4,Product 4,17.99,67
5,3,35,3,2,2014-01-02 10:11:39,2,1,2014,Cezary,Urban,Ursus,3,Product 3,13.99,341
6,4,34,4,1,2014-01-02 15:39:09,2,1,2014,Bartek,Baran,Wilanów,4,Product 4,17.99,67
9,5,72,2,7,2014-01-03 09:05:57,3,1,2014,Joanna,Gajda,Ochota,2,Product 2,11.99,456
8,5,72,3,7,2014-01-03 09:05:57,3,1,2014,Joanna,Gajda,Ochota,3,Product 3,13.99,341
7,5,72,5,2,2014-01-03 09:05:57,3,1,2014,Joanna,Gajda,Ochota,5,Product 5,23.99,750
10,6,98,1,3,2014-01-03 15:06:44,3,1,2014,Dominika,Konieczny,Białołęka,1,Product 1,7.99,374
11,6,98,3,8,2014-01-03 15:06:44,3,1,2014,Dominika,Konieczny,Białołęka,3,Product 3,13.99,341
14,7,14,1,5,2014-01-03 16:29:08,3,1,2014,Anna,Mazur,Ursus,1,Product 1,7.99,374
12,7,14,4,5,2014-01-03 16:29:08,3,1,2014,Anna,Mazur,Ursus,4,Product 4,17.99,67
13,7,14,5,6,2014-01-03 16:29:08,3,1,2014,Anna,Mazur,Ursus,5,Product 5,23.99,750
15,8,68,5,5,2014-01-04 13:34:58,4,1,2014,Jan,Konieczny,Ursus,5,Product 5,23.99,750
16,9,100,3,1,2014-01-04 15:36:08,4,1,2014,Natalia,Pająk,Wawer,3,Product 3,13.99,341
17,10,5,4,9,2014-01-04 19:30:55,4,1,2014,Aleksandra,Kaczor,Ursus,4,Product 4,17.99,67
19,11,33,2,4,2014-01-05 03:13:47,5,1,2014,Hubert,Kaczmarek,Mokotów,2,Product 2,11.99,456
18,11,33,3,6,2014-01-05 03:13:47,5,1,2014,Hubert,Kaczmarek,Mokotów,3,Product 3,13.99,341
20,11,33,4,1,2014-01-05 03:13:47,5,1,2014,Hubert,Kaczmarek,Mokotów,4,Product 4,17.99,67
21,12,45,1,6,2014-01-05 09:16:39,5,1,2014,Aleksandra,Duda,Włochy,1,Product 1,7.99,374
22,12,45,3,4,2014-01-05 09:16:39,5,1,2014,Aleksandra,Duda,Włochy,3,Product 3,13.99,341
23,12,45,4,1,2014-01-05 09:16:39,5,1,2014,Aleksandra,Duda,Włochy,4,Product 4,17.99,67
26,13,93,1,3,2014-01-05 18:19:25,5,1,2014,Ewa,Zając,Wawer,1,Product 1,7.99,374
24,13,93,3,2,2014-01-05 18:19:25,5,1,2014,Ewa,Zając,Wawer,3,Product 3,13.99,341
25,13,93,4,8,2014-01-05 18:19:25,5,1,2014,Ewa,Zając,Wawer,4,Product 4,17.99,67
28,14,20,1,9,2014-01-05 18:23:53,5,1,2014,Łukasz,Baran,Śródmieście,1,Product 1,7.99,374
27,14,20,2,4,2014-01-05 18:23:53,5,1,2014,Łukasz,Baran,Śródmieście,2,Product 2,11.99,456
29,15,35,3,2,2014-01-05 23:01:57,5,1,2014,Cezary,Urban,Ursus,3,Product 3,13.99,341
30,15,35,4,1,2014-01-05 23:01:57,5,1,2014,Cezary,Urban,Ursus,4,Product 4,17.99,67
31,16,17,1,6,2014-01-05 23:59:12,5,1,2014,Karolina,Baran,Bemowo,1,Product 1,7.99,374
33,16,17,4,1,2014-01-05 23:59:12,5,1,2014,Karolina,Baran,Bemowo,4,Product 4,17.99,67
32,16,17,5,5,2014-01-05 23:59:12,5,1,2014,Karolina,Baran,Bemowo,5,Product 5,23.99,750
35,17,8,2,7,2014-01-06 03:33:37,6,1,2014,Dominika,Kruk,Wola,2,Product 2,11.99,456
34,17,8,4,7,2014-01-06 03:33:37,6,1,2014,Dominika,Kruk,Wola,4,Product 4,17.99,67
37,18,34,2,7,2014-01-06 11:18:14,6,1,2014,Bartek,Baran,Wilanów,2,Product 2,11.99,456
36,18,34,5,6,2014-01-06 11:18:14,6,1,2014,Bartek,Baran,Wilanów,5,Product 5,23.99,750
38,19,89,4,7,2014-01-06 11:54:42,6,1,2014,Grzegorz,Kruk,Wesoła,4,Product 4,17.99,67
39,19,89,5,4,2014-01-06 11:54:42,6,1,2014,Grzegorz,Kruk,Wesoła,5,Product 5,23.99,750
41,20,77,2,5,2014-01-06 13:52:09,6,1,2014,Monika,Nowak,Białołęka,2,Product 2,11.99,456
40,20,77,4,5,2014-01-06 13:52:09,6,1,2014,Monika,Nowak,Białołęka,4,Product 4,17.99,67
42,20,77,5,4,2014-01-06 13:52:09,6,1,2014,Monika,Nowak,Białołęka,5,Product 5,23.99,750
44,21,90,1,3,2014-01-07 01:09:13,7,1,2014,Adam,Żuraw,Ochota,1,Product 1,7.99,374
43,21,90,4,8,2014-01-07 01:09:13,7,1,2014,Adam,Żuraw,Ochota,4,Product 4,17.99,67
45,22,98,3,2,2014-01-07 22:20:35,7,1,2014,Dominika,Konieczny,Białołęka,3,Product 3,13.99,341
46,22,98,5,4,2014-01-07 22:20:35,7,1,2014,Dominika,Konieczny,Białołęka,5,Product 5,23.99,750
48,23,22,2,9,2014-01-07 23:21:02,7,1,2014,Marek,Wróbel,Wola,2,Product 2,11.99,456
47,23,22,3,5,2014-01-07 23:21:02,7,1,2014,Marek,Wróbel,Wola,3,Product 3,13.99,341
50,24,88,2,7,2014-01-08 07:29:59,8,1,2014,Natalia,Brzoza,Praga-Południe,2,Product 2,11.99,456
49,24,88,3,6,2014-01-08 07:29:59,8,1,2014,Natalia,Brzoza,Praga-Południe,3,Product 3,13.99,341
51,24,88,5,7,2014-01-08 07:29:59,8,1,2014,Natalia,Brzoza,Praga-Południe,5,Product 5,23.99,750
53,25,67,2,1,2014-01-08 13:58:08,8,1,2014,Łukasz,Kruk,Bielany,2,Product 2,11.99,456
52,25,67,3,7,2014-01-08 13:58:08,8,1,2014,Łukasz,Kruk,Bielany,3,Product 3,13.99,341
54,26,72,2,8,2014-01-08 19:42:10,8,1,2014,Joanna,Gajda,Ochota,2,Product 2,11.99,456
56,26,72,3,4,2014-01-08 19:42:10,8,1,2014,Joanna,Gajda,Ochota,3,Product 3,13.99,341
55,26,72,4,7,2014-01-08 19:42:10,8,1,2014,Joanna,Gajda,Ochota,4,Product 4,17.99,67
57,27,22,5,7,2014-01-09 00:16:41,9,1,2014,Marek,Wróbel,Wola,5,Product 5,23.99,750
60,28,62,3,3,2014-01-09 01:31:27,9,1,2014,Paweł,Wilk,Mokotów,3,Product 3,13.99,341
59,28,62,4,8,2014-01-09 01:31:27,9,1,2014,Paweł,Wilk,Mokotów,4,Product 4,17.99,67
58,28,62,5,4,2014-01-09 01:31:27,9,1,2014,Paweł,Wilk,Mokotów,5,Product 5,23.99,750
61,29,84,2,2,2014-01-09 09:46:02,9,1,2014,Agnieszka,Brzoza,Bemowo,2,Product 2,11.99,456
